keyword,template,month_rule,debit_account,credit_account,tax_code
DOCOMO,{month}月分 携帯電話料金,prev,通信費,普通預金,課税仕入10%
ソフトバンク,{month}月分 携帯電話料金,prev,通信費,普通預金,課税仕入10%
楽天カード,{month}月分 クレジットカード利用分,prev,未払金,普通預金,対象外
Amazon,消耗品代,none,消耗品費,普通預金,課税仕入10%
ENEOS,ガソリン代,none,車両費,普通預金,課税仕入10%
家賃,{month}月分 地代家賃,current,地代家賃,普通預金,対象外
リース料,{month}月分 リース料,current,リース料,普通預金,課税仕入10%
税理士報酬,{month}月分 税理士報酬,current,支払報酬,普通預金,課税仕入10%
セブンイレブン,ｾﾌﾞﾝｲﾚﾌﾞﾝ 飲食料代,none,福利厚生費,普通預金,未確定
売上入金,売上入金,none,普通預金,売上高,課税売上10%
雑収入,雑収入,none,普通預金,雑収入,対象外
ファミリーマート,消耗品費,current,消耗品費,普通預金,課税仕入10%
コンビニ,コンビニ利用,current,消耗品費,普通預金,課税仕入10%